id_cliente,qtde_compras,valor_compras,periodo_consumo
100592.0,1,19.37,2024-10
102567.0,1,19.61,2024-10
101088.0,1,22.14,2024-10
100415.0,1,19.37,2024-10
100580.0,1,19.12,2024-10
102254.0,1,13.25,2024-10
101318.0,1,18.1,2024-10
102020.0,1,14.14,2024-10
102569.0,1,20.45,2024-10
100529.0,10,180.31,2024-11
100049.0,8,158.69,2024-11
100376.0,8,103.82,2024-11
100154.0,8,107.53,2024-11
102640.0,8,161.79,2024-11
102290.0,7,93.13,2024-11
100803.0,7,93.07,2024-11
101155.0,7,88.62,2024-11
100377.0,7,159.62,2024-11
100695.0,6,122.71,2024-11
101266.0,6,97.94,2024-11
100631.0,6,94.29,2024-11
102349.0,6,97.71,2024-11
102167.0,6,125.1,2024-11
101089.0,6,117.8,2024-11
100416.0,6,87.11,2024-11
101964.0,6,86.4,2024-11
101657.0,6,81.52,2024-11
100255.0,6,117.73,2024-11
101461.0,6,124.44,2024-11
101548.0,5,76.88,2024-11
100165.0,4,51.02,2024-11
100570.0,4,53.65,2024-11
100178.0,4,91.7,2024-11
100586.0,4,62.81,2024-11
101647.0,4,83.17,2024-11
100395.0,4,76.96,2024-11
101730.0,4,66.53,2024-11
101525.0,4,58.96,2024-11
102182.0,4,55.33,2024-11
101718.0,4,76.54,2024-11
100372.0,4,83.4,2024-11
101484.0,4,77.78,2024-11
100477.0,4,72.9,2024-11
100250.0,4,51.92,2024-11
101783.0,3,68.79,2024-11
100830.0,3,63.32,2024-11
100999.0,3,47.02,2024-11
101823.0,3,69.16,2024-11
100925.0,3,56.98,2024-11
100400.0,3,56.36,2024-11
101440.0,3,61.69,2024-11
102329.0,3,63.75,2024-11
100832.0,3,58.64,2024-11
100547.0,3,41.72,2024-11
100479.0,3,48.49,2024-11
100311.0,2,45.0,2024-11
100272.0,2,29.88,2024-11
100276.0,2,33.05,2024-11
102020.0,2,34.34,2024-11
100562.0,2,34.5,2024-11
100396.0,2,38.23,2024-11
101565.0,2,45.32,2024-11
101076.0,2,30.23,2024-11
101935.0,2,27.67,2024-11
102078.0,2,29.3,2024-11
100874.0,2,44.11,2024-11
101771.0,2,38.93,2024-11
100404.0,2,31.2,2024-11
,2,42.59,2024-11
101152.0,2,43.56,2024-11
101125.0,2,43.24,2024-11
102696.0,2,44.8,2024-11
100019.0,2,30.48,2024-11
102606.0,2,41.28,2024-11
102431.0,2,34.95,2024-11
101002.0,2,43.15,2024-11
100334.0,2,40.71,2024-11
100306.0,2,41.74,2024-11
100672.0,2,39.15,2024-11
100070.0,2,28.87,2024-11
100781.0,2,36.77,2024-11
100859.0,2,46.21,2024-11
101587.0,2,45.2,2024-11
101605.0,2,25.99,2024-11
101962.0,2,28.6,2024-11
100033.0,2,27.89,2024-11
100946.0,2,40.65,2024-11
100953.0,2,42.63,2024-11
100996.0,2,29.65,2024-11
102194.0,2,35.93,2024-11
101856.0,2,43.12,2024-11
100243.0,2,40.8,2024-11
101261.0,2,36.71,2024-11
100140.0,2,37.74,2024-11
100216.0,2,35.98,2024-11
101046.0,2,31.45,2024-11
101656.0,2,37.2,2024-11
100351.0,2,39.86,2024-11
100702.0,2,43.82,2024-11
101537.0,2,38.73,2024-11
100392.0,2,41.41,2024-11
101922.0,2,28.5,2024-11
100934.0,2,34.97,2024-11
101812.0,2,25.26,2024-11
101139.0,2,30.36,2024-11
101690.0,2,40.66,2024-11
100136.0,2,46.36,2024-11
101926.0,2,27.19,2024-11
101709.0,2,33.68,2024-11
102132.0,2,42.25,2024-11
100872.0,2,29.44,2024-11
100195.0,2,36.98,2024-11
102437.0,2,40.81,2024-11
100337.0,2,38.29,2024-11
100943.0,2,29.1,2024-11
101220.0,2,32.69,2024-11
102328.0,1,20.95,2024-11
101053.0,1,18.48,2024-11
100502.0,1,12.59,2024-11
101038.0,1,20.7,2024-11
100731.0,1,12.91,2024-11
100735.0,1,20.54,2024-11
101493.0,1,14.7,2024-11
100522.0,1,22.82,2024-11
100194.0,1,16.48,2024-11
100573.0,1,16.04,2024-11
102680.0,1,14.13,2024-11
102658.0,1,15.81,2024-11
101193.0,1,21.95,2024-11
101318.0,1,23.23,2024-11
101400.0,1,16.49,2024-11
101127.0,1,17.35,2024-11
101000.0,1,20.29,2024-11
101291.0,1,22.05,2024-11
102082.0,1,18.9,2024-11
100360.0,1,16.73,2024-11
100799.0,1,16.96,2024-11
101142.0,1,20.0,2024-11
101593.0,1,12.56,2024-11
100660.0,1,19.18,2024-11
101753.0,1,16.35,2024-11
102289.0,1,21.06,2024-11
100825.0,1,13.53,2024-11
100382.0,1,18.85,2024-11
100197.0,1,17.7,2024-11
101249.0,1,19.43,2024-11
